sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
1055673,10,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,No,No,No,Yes,No,No
1157334,0,8,0,174,174,174,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1055821,48,,0,0,0,0,0,0,0,0,8,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1158662,23,,0,0,0,0,0,0,0,1,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1166209,3870,,0,0,0,0,26,96,171,763,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1056218,2,12,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1174215,10,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,No,No,No,Yes,No,No
1057603,3,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1177491,89,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1057852,26,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1058160,16,,0,0,0,0,0,0,2,2,3,No,0,-99,-99,0,No,No,No,No,No,No
1058265,24,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1180136,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1058368,47,2,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,No,No,Yes,No,No
1180289,6,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1180688,890,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1181323,20,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1183869,23,,0,0,0,0,0,0,1,1,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1188666,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1208397,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
1211975,19,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1214111,6,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
1215996,0,,0,0,0,0,0,0,0,0,3,No,0,-99,-99,0,No,No,No,No,No,No
1216977,49,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1060534,0,,0,0,0,0,0,0,0,8,3,No,0,-99,-99,0,No,No,No,No,No,No
1060585,6,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1060788,1,9,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1217629,163,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
1218378,0,6,0,0,0,0,0,0,0,0,0,No,0,0.79,0.66,0,No,No,No,Yes,No,No
1218575,185,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
1219165,7,,0,0,0,0,0,0,1,1,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1061567,26,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1220808,64,,0,0,0,0,0,10,11,11,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1221415,0,2,0,0,0,0,0,0,0,0,0,No,0,0.77,0.89,0,Yes,No,No,Yes,No,No
1062032,113,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1062234,2,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,Yes,Yes,No,No
1062797,15,8,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,No,No,No,Yes,No,No
1225137,0,8,0,0,0,0,0,0,0,0,0,No,0,0.87,0.84,0,Yes,No,No,Yes,No,No
1226726,0,8,0,0,0,0,0,0,0,0,0,No,0,1,0.98,0,No,No,No,Yes,No,No
1063838,32,2,0,0,0,0,0,0,0,0,0,No,0,0.66,0.6,0,No,No,No,Yes,No,No
1063988,14,9,0,0,0,0,0,0,0,0,0,No,0,1,1,0,No,No,No,Yes,No,No
1235137,3,8,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,Yes,Yes,No,No
1064294,0,,0,2,4,4,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1236537,46,,0,0,0,0,0,4,19,35,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1237426,522,,0,0,0,0,0,1,3,15,0,No,0,-99,-99,0,Yes,No,No,No,No,No
1064605,4,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1064969,2,,0,0,0,0,0,1,1,1,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1065629,0,12,0,0,0,0,0,0,0,0,0,No,0,0.82,0.79,0,No,No,Yes,Yes,No,No
1065731,222,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1066194,2,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1066247,51,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,No,No,No
1067103,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1067203,5,8,0,0,0,0,0,0,0,0,0,No,0,0,0.09,0,No,No,No,Yes,No,No
1067755,2,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
1068264,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1068576,3,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1068628,10,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,No,No,No,Yes,No,No
1068990,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111573,17303,8,0,0,0,0,0,102,177,304,29,No,0,-99,-99,0,No,No,No,Yes,No,No
1111574,763,8,0,0,0,0,31,133,354,598,58,No,0,1,1,0,No,No,No,Yes,No,No
1111575,62,8,0,0,0,0,0,2,7,7,0,No,0,1,1,0,Yes,No,No,Yes,No,No
1111576,40,,0,0,0,0,0,2,6,11,4,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111577,59,12,1,181,304,345,9,75,232,327,149,No,0,0.98,0.95,0,No,No,No,Yes,No,No
1111578,226,,0,0,0,0,0,1,3,4,3,No,0,-99,-99,0,Yes,No,No,No,No,No
1111579,256,8,0,0,0,0,0,1,1,17,2,No,0,1,1,0,Yes,No,Yes,No,No,No
1111580,362,8,0,0,0,0,4,20,40,72,1,No,0,0.89,0.89,0,No,No,No,Yes,No,No
1111581,55,,0,0,0,0,0,0,1,1,0,No,0,-99,-99,0,Yes,No,No,No,No,No
1111582,18,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,Yes,No,Yes,No,No,No
1111583,4044,12,39,0,0,0,47,141,270,573,110,No,0,0.93,0.88,0,No,No,No,Yes,No,No
1111584,835,8,0,0,0,0,6,6,6,41,5,No,0,-99,-99,0,No,No,No,Yes,No,No
1111585,294,8,0,0,0,0,13,33,44,75,3,No,0,-99,0,0,No,No,Yes,Yes,No,No
1111586,1911,4,0,0,0,0,1,5,7,17,0,No,0,0.79,0.66,0,No,No,No,Yes,No,No
1111587,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
1111588,114,8,0,0,0,0,13,17,37,70,0,No,0,0.79,0.66,0,No,No,No,Yes,No,No
1111589,246,8,0,0,70,132,0,0,0,0,0,No,0,0.92,0.97,0,No,No,No,Yes,No,No
1111590,6,8,0,0,0,2,0,1,4,9,0,No,0,0.81,0.8,0,No,No,No,Yes,No,No
1111591,302,8,0,0,0,0,24,70,117,181,32,No,0,0.78,0.73,0,No,No,No,Yes,No,No
1111592,12,8,0,0,0,0,0,0,0,2,0,No,0,0.6,0.54,0,No,No,No,Yes,No,No
1111593,28,8,0,0,0,0,0,0,0,0,0,No,0,0.7,0.64,0,No,No,No,Yes,No,No
1111594,414,,0,0,0,0,6,24,50,76,18,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111595,6,8,3,22,47,67,7,22,36,50,0,No,0,0.6,0.54,0,No,No,No,Yes,No,No
1111596,29,8,0,0,0,0,0,1,2,3,0,No,0,0.93,0.86,0,No,No,No,Yes,No,No
1111597,353,52,4,0,0,0,11,34,68,102,21,No,0,0.83,0.89,0,Yes,No,Yes,Yes,No,No
1111598,360,8,0,900,1440,1980,251,521,960,1363,159,No,0,1,1,0,No,No,No,Yes,No,No
1111599,0,15,0,0,0,0,0,0,0,0,0,No,0,0.84,0.93,0,No,No,No,Yes,No,No
1111600,231,,0,0,0,0,0,5,10,21,2,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
1111601,4900,8,0,0,0,0,40,86,140,205,42,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1111602,5,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111603,500,8,0,5000,5000,5000,159,740,1279,1998,422,No,0,0.91,0.8,0,No,No,No,Yes,No,No
1111604,113,,0,0,0,0,4,18,37,52,3,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111605,6,,0,0,0,0,4,53,107,153,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111606,1004,9,0,2520,3150,5040,12,911,1652,2596,28,No,0,0.7,0.88,0,No,No,No,Yes,No,No
1111607,664,,0,0,0,0,2,5,14,20,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111608,11,,0,0,0,0,0,1,4,4,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111609,39,8,0,0,0,0,0,0,0,0,0,No,0,1,1,0,No,No,No,Yes,No,No
1111610,19,8,0,0,0,0,1,2,6,8,1,No,0,0.98,0.97,0,No,No,No,Yes,No,No
1111611,278,8,0,0,0,0,7,37,85,129,23,No,0,0.96,0.83,0,No,No,No,Yes,No,No
1111612,85,12,0,0,0,0,7,15,25,46,8,No,0,0.93,0.88,0,No,No,No,Yes,No,No
1111613,0,17,2,1,4,7,2,4,8,9,0,No,0,0.79,0.83,0,No,No,No,Yes,No,No
1111614,15,12,0,2,18,34,1,3,7,12,0,No,0,0.82,0.79,0,No,No,No,Yes,No,No
1111615,4,8,0,0,0,0,0,0,0,1,0,No,0,0.48,0.53,0,No,No,No,Yes,No,No
1111616,6,12,0,0,0,0,2,3,11,13,0,No,0,0.87,0.68,0,No,No,No,Yes,No,No
1111617,945,8,0,0,0,0,0,0,0,0,0,No,0,0.97,0.96,0,No,No,No,Yes,No,No
1111618,18,12,0,10,20,40,2,9,21,34,1,No,0,0.47,0.39,0,No,No,No,Yes,No,No
1111619,46,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
1111620,1,8,1,1,1,1,0,1,1,1,0,No,0,0.98,0.95,0,No,No,No,Yes,No,No
1111621,139,8,0,0,0,39,10,40,92,169,21,No,0,0.85,0.87,0,No,No,No,Yes,No,No
1111622,117,8,80,0,150,225,20,49,118,186,36,No,0,0.83,0.89,0,No,No,No,Yes,No,No
1111623,0,8,0,2,3,5,0,3,3,3,2,No,0,0.68,0.58,0,No,No,Yes,Yes,No,Yes
1111624,36,8,3,0,0,0,4,9,22,32,1,No,0,1,0.99,0,No,No,No,Yes,No,No
1111625,305,8,0,0,0,0,2,6,12,41,2,No,0,0.85,0.82,0,No,No,No,Yes,No,No
1111626,519,,0,0,0,0,1,5,13,15,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111627,814,8,0,0,0,0,0,0,0,16,6,No,0,0.98,0.91,0,Yes,No,No,Yes,No,No
1111628,8,12,0,0,0,0,0,0,0,0,0,No,0,0.88,0.81,0,No,No,No,Yes,No,No
1111629,0,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.98,0,No,No,No,Yes,No,No
1111630,12776,8,0,15000,30000,40000,4568,12494,24591,42341,3862,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1111631,115,13,0,175,175,175,0,12,52,109,9,No,0,1,0.93,0,No,No,No,Yes,No,No
1111632,48,9,0,0,0,0,0,10,11,16,0,No,0,0.91,0.74,0,No,No,Yes,Yes,No,No
1111633,16,4,0,0,0,0,0,0,1,3,0,No,0,0.77,0.8,0,No,No,No,Yes,No,No
1111634,109,,0,0,0,0,1,3,5,5,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111635,2690,8,0,0,0,0,0,1,1,3,1,No,0,1,1,0,No,No,Yes,Yes,No,No
1111636,11,,0,0,0,0,9,12,17,21,1,No,0,-99,-99,0,No,No,No,Yes,No,No
1111637,594,2,0,400,800,1200,139,437,834,11172,200,No,0,0.62,0.56,0,No,No,No,Yes,No,No
1111638,2403,2,0,0,0,0,2,7,32,39,0,No,0,1,0.99,0,No,No,No,Yes,No,No
1111639,9,12,0,0,0,0,0,0,0,0,0,No,0,0.56,0.72,0,Yes,No,No,Yes,No,No
1111640,1220,8,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1111788,12,0,0,0,0,0,0,0,0,0,2,No,0,0,0,0,No,No,No,Yes,No,No
1111641,36,12,0,0,0,0,2,2,2,14,6,No,0,0.82,0.79,0,Yes,No,No,Yes,No,No
1111642,289,6,0,0,50,175,47,92,379,459,111,No,0,0.82,0.79,0,No,No,Yes,Yes,No,No
1111643,59,8,3,0,0,0,4,10,31,51,8,No,0,0.88,0.92,0,No,No,No,Yes,No,No
1111644,4570,,0,0,0,0,20,20,460,476,9,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111645,9,,0,0,0,0,0,0,0,1,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111646,10,8,0,12,34,78,0,0,0,0,0,No,0,0.96,0.94,0,No,No,No,Yes,No,No
1111647,0,8,0,0,100,100,0,0,0,0,0,No,0,0.55,0.66,0,No,No,No,Yes,No,No
1111648,13,8,0,0,0,0,0,0,0,2,1,No,0,0.81,0.83,0,No,No,Yes,Yes,No,No
1111649,10,8,0,0,0,0,0,0,0,0,0,No,0,0.96,0.94,0,No,No,No,Yes,No,No
1111650,110,8,0,0,0,0,2,10,22,29,3,No,0,1,0.95,0,No,No,No,Yes,No,No
1111651,143,8,1,16,50,118,18,49,106,284,27,No,0,0.81,0.86,0,No,No,No,Yes,No,No
1111652,24,8,0,3456,3456,3456,10,39,68,93,7,No,0,1,0.95,1,No,No,Yes,Yes,No,Yes
1111653,36,8,0,0,0,0,0,3,4,6,2,No,0,-99,-99,0,No,No,No,Yes,No,No
1111654,163,8,0,129,298,380,56,118,202,310,0,No,0,0.99,0.98,0,No,No,No,Yes,No,No
1111655,-55,8,2,428,526,606,25,100,205,387,52,No,0,-99,-99,56,No,No,No,Yes,No,Yes
1111656,74,8,0,0,0,0,0,6,14,18,0,No,0,0.81,0.83,0,No,No,No,Yes,No,No
1111657,225,8,0,0,0,0,8,10,10,128,1,No,0,0.95,0.97,0,No,No,No,Yes,No,No
1111658,9,,0,0,0,0,3,5,9,26,4,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111659,30,8,14,42,84,126,7,56,107,148,24,No,0,0.98,0.92,0,No,No,No,Yes,No,Yes
1111660,20,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111661,117,8,0,3200,5200,6800,0,0,0,0,0,No,0,0.97,0.98,0,No,No,No,Yes,No,No
1111662,14,8,0,0,0,0,3,5,7,11,3,No,0,0.76,0.89,0,No,No,No,Yes,No,No
1111663,39,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
1111664,3,8,0,0,0,0,0,0,0,0,0,No,0,0.87,0.84,0,No,No,No,Yes,No,No
1111665,21,2,0,50,90,130,26,62,112,152,20,No,0,0.97,0.99,0,No,No,No,Yes,No,No
1111666,2812,4,0,0,0,0,19,37,123,163,24,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1111667,46,8,0,0,0,0,0,1,1,1,1,No,0,0.94,0.84,0,No,No,No,Yes,No,No
1111668,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111669,5,8,0,0,0,0,0,0,0,0,0,No,0,0.76,0.84,0,No,No,No,Yes,No,No
1111670,-499,12,350,3452,5044,7188,747,2550,3572,4745,401,No,0,0.49,0.72,525,No,No,No,Yes,No,Yes
1111671,103,9,0,0,0,0,0,0,19,19,0,No,0,0.85,0.83,0,Yes,No,No,Yes,No,No
1111672,562,4,0,0,0,0,62,135,276,438,66,No,0,0.08,0.19,0,No,No,No,Yes,No,No
1111673,3,40,0,0,6,24,2,18,24,27,2,No,0,0.98,0.98,0,Yes,No,No,Yes,No,No
1111674,1900,8,0,0,0,0,0,1,6,15,0,No,0,1,0.97,0,No,No,No,Yes,No,No
1111675,64,2,0,0,0,0,15,18,25,59,0,No,0,0.66,0.39,0,No,No,No,Yes,No,No
1111676,107,2,0,0,0,0,1,2,3,55,1,No,0,0.93,0.95,0,No,No,Yes,Yes,No,No
1111677,75,2,0,0,0,0,0,0,30,30,0,No,0,0.99,0.99,0,Yes,No,No,Yes,No,No
1111678,2858,2,0,0,0,0,7,17,32,44,0,No,0,1,0.99,0,No,No,No,Yes,No,No
1111679,38,8,0,0,0,0,1,2,2,2,1,No,0,0.4,0.4,0,No,No,Yes,Yes,No,No
1111680,1203,2,0,0,0,0,10,33,50,99,19,No,0,0.93,0.95,0,No,No,No,Yes,No,No
1111681,126,9,0,0,0,0,4,12,21,32,6,No,0,0.91,0.74,0,No,No,Yes,Yes,No,No
1111682,43,9,0,0,0,0,0,1,3,3,0,No,0,0.91,0.74,0,No,No,No,Yes,No,No
1111683,3,2,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1111684,4,4,0,2,2,2,0,1,1,1,0,No,0,0.77,0.8,0,Yes,No,No,Yes,No,No
1111685,24,2,0,0,0,0,0,2,3,7,1,No,0,0.81,0.43,0,Yes,No,No,Yes,No,No
1111686,10,2,4,48,84,144,14,50,115,158,26,No,0,0.85,0.83,0,No,No,No,Yes,No,No
1111687,10,9,0,0,0,0,0,0,0,0,0,No,0,0.91,0.74,0,Yes,No,No,Yes,No,No
1111688,261,12,0,0,0,0,0,0,0,0,0,No,0,0.96,0.86,0,No,No,No,Yes,No,No
1111689,3,8,0,0,0,0,1,1,1,2,0,No,0,0.8,0.81,0,No,No,No,Yes,No,No
1111690,8,9,0,0,0,1,0,3,8,10,0,No,0,0.91,0.74,0,No,No,No,Yes,No,No
1111691,17,8,0,30,30,30,0,0,0,0,0,No,0,1,0.99,0,No,No,No,Yes,No,No
1111692,20,4,6,0,0,0,0,0,0,0,0,No,0,0.22,0.11,0,Yes,No,No,Yes,No,No
1111693,490,12,0,0,0,0,0,5,10,10,0,No,0,0.96,0.86,0,No,No,No,Yes,No,No
1111694,132,2,68,102,228,364,19,81,174,251,41,No,0,0.89,0.92,0,No,No,No,Yes,No,No
1111695,39,2,0,0,0,12,4,11,15,55,3,No,0,0.98,0.99,0,Yes,No,No,Yes,No,No
1111696,26,10,0,0,0,0,0,3,5,5,0,No,0,0.85,0.88,0,Yes,No,No,Yes,No,No
1111697,10,12,0,7,9,14,2,6,10,14,0,No,0,0.82,0.79,0,No,No,No,Yes,No,No
1111698,5000,2,0,0,0,0,0,0,0,0,0,No,0,0.64,0.8,0,No,No,No,Yes,No,No
1111699,4095,52,0,0,0,0,29,105,137,193,0,No,0,0.96,0.86,0,Yes,No,No,No,No,No
1111700,12,2,0,18,18,18,0,0,0,0,0,No,0,0.75,0.9,0,Yes,No,No,Yes,No,No
1111701,11,9,0,0,0,0,0,0,0,0,0,No,0,0.91,0.74,0,Yes,No,No,Yes,No,No
1111702,83,52,0,0,0,0,0,7,13,16,1,No,0,0.98,0.93,0,Yes,No,No,Yes,No,No
1111703,4935,12,0,0,0,0,1,11,11,12,0,No,0,0.96,0.86,0,No,No,No,Yes,No,No
1111704,31,2,0,0,0,0,5,15,20,26,0,No,0,0.63,0.69,0,Yes,No,No,Yes,No,No
1111705,369,8,12,0,0,0,43,133,256,397,44,No,0,0.95,0.99,0,Yes,No,No,Yes,No,No
1111706,223,12,0,0,0,0,3,11,26,37,1,No,0,0.76,0.63,0,No,No,No,Yes,No,No
1111707,166,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1111708,66,52,0,0,0,0,2,8,12,16,0,No,0,0.99,0.9,0,Yes,No,No,Yes,No,No
1111709,55,8,0,39,81,123,11,39,80,144,31,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1111710,0,8,0,0,0,0,0,0,0,0,0,No,0,0.97,0.98,0,No,No,No,Yes,No,No
1111711,9,8,0,0,0,0,0,0,0,0,0,No,0,0.96,0.98,0,Yes,No,No,Yes,No,No
1111712,3,8,0,0,1,2,0,0,4,5,0,No,0,0.88,0.94,0,No,No,No,Yes,No,No
1111713,79,8,0,60,120,180,18,60,131,194,28,No,0,1,0.98,0,No,No,Yes,Yes,No,No
1111714,72,12,37,0,0,0,12,32,59,77,2,No,0,0.98,0.95,0,No,No,No,Yes,No,No
1111715,3,12,0,0,0,0,0,0,0,0,0,No,0,0.82,0.79,0,Yes,No,No,Yes,No,No
1111716,280,8,66,496,816,1072,145,396,865,1462,173,No,0,0.99,0.99,0,No,No,Yes,Yes,No,No
1111717,83,8,0,0,0,0,11,28,44,71,20,No,0,1,0.99,0,No,No,No,Yes,No,No
1111718,12,16,0,0,0,0,0,0,1,4,2,No,0,0.44,0.46,0,No,No,No,Yes,No,No
1111719,134,8,11,30,120,180,26,69,154,259,57,No,0,1,0.99,0,No,No,No,Yes,No,No
1111720,9,8,0,0,4,8,2,3,13,17,2,No,0,0.91,0.91,0,No,No,No,Yes,No,No
1111721,38,8,15,65,109,153,16,55,94,143,27,No,0,0.97,0.96,0,No,No,No,Yes,No,No
1111722,34,8,0,0,0,0,0,0,0,0,0,No,0,1,0.99,0,No,No,No,Yes,No,No
1111723,24,8,0,0,0,0,3,8,19,40,0,No,0,0.97,0.94,0,No,No,No,Yes,No,No
1111724,37,10,0,0,0,0,0,0,0,0,2,No,0,0.89,0.9,0,No,No,No,Yes,No,No
1111725,81,8,0,0,0,0,0,0,0,0,0,No,0,1,1,0,No,No,No,Yes,No,No
1111726,8,12,0,0,0,1,0,1,2,5,0,No,0,0.82,0.79,0,No,No,No,Yes,No,No
1111727,51,2,0,34,68,136,4,4,74,123,0,No,0,1,1,0,No,No,No,Yes,No,No
1111728,32,8,0,78,78,78,13,19,27,58,3,No,0,0.92,0.95,0,No,No,No,Yes,No,No
1111729,19,10,0,0,0,0,0,0,0,0,0,No,0,0.89,0.9,0,No,No,No,Yes,No,No
1111730,2,12,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
1111731,10,52,0,0,0,0,0,3,5,8,0,No,0,0.69,0.68,0,Yes,No,No,Yes,No,No
1111732,9081,8,1420,20000,30000,38000,4372,12921,24517,40240,5006,No,0,0.99,0.97,0,No,No,No,Yes,No,No
1111733,177,8,24,473,946,1333,198,506,979,1501,169,No,0,0.6,0.57,1,No,No,Yes,Yes,No,No
